epoch,train_loss,val_loss
88,0.022383,0.108914,3.13e-06,2025-03-20 13:34:10
89,0.022655,0.113446,3.13e-06,2025-03-20 13:35:41
90,0.022430,0.201696,3.13e-06,2025-03-20 13:37:12
91,0.022628,0.203192,3.13e-06,2025-03-20 13:38:43
92,0.022459,0.090973,1.56e-06,2025-03-20 13:40:15
93,0.022505,0.105173,1.56e-06,2025-03-20 13:41:45
94,0.022214,0.100198,1.56e-06,2025-03-20 13:43:17
95,0.022420,0.149319,1.56e-06,2025-03-20 13:44:47
96,0.022601,0.102526,1.56e-06,2025-03-20 13:46:18
97,0.022291,0.084290,1.56e-06,2025-03-20 13:47:50
98,0.022525,0.137102,1.56e-06,2025-03-20 13:49:21
99,0.022403,0.053638,1.56e-06,2025-03-20 13:50:53
100,0.022197,0.064818,1.56e-06,2025-03-20 13:52:32
